Anime,URL,Tags
Demon Slayer: Kimetsu no Yaiba - Mugen Train,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-mugen-train,
Attack on Titan 3rd Season,https://www.anime-planet.com/anime/attack-on-titan-3rd-season,
JoJo's Bizarre Adventure: Golden Wind,https://www.anime-planet.com/anime/jojos-bizarre-adventure-golden-wind,
Haikyuu!!,https://www.anime-planet.com/anime/haikyuu,
The Promised Neverland,https://www.anime-planet.com/anime/the-promised-neverland,
Natsume's Book of Friends Season 5,https://www.anime-planet.com/anime/natsumes-book-of-friends-season-5,
Vinland Saga,https://www.anime-planet.com/anime/vinland-saga,
Violet Evergarden,https://www.anime-planet.com/anime/violet-evergarden,
Banana Fish,https://www.anime-planet.com/anime/banana-fish,
Douluo Dalu 2nd Season,https://www.anime-planet.com/anime/douluo-dalu-2nd-season,
Natsume's Book of Friends Season 4,https://www.anime-planet.com/anime/natsumes-book-of-friends-season-4,
Throne of Seal 2nd Season,https://www.anime-planet.com/anime/throne-of-seal-2nd-season,
YOASOBI: Idol,https://www.anime-planet.com/anime/yoasobi-idol,
Assassination Classroom 2nd Season,https://www.anime-planet.com/anime/assassination-classroom-2nd-season,
Mushoku Tensei: Jobless Reincarnation - Part II,https://www.anime-planet.com/anime/mushoku-tensei-jobless-reincarnation-part-ii,
That Time I Got Reincarnated as a Slime,https://www.anime-planet.com/anime/that-time-i-got-reincarnated-as-a-slime,
Hajime no Ippo: New Challenger,https://www.anime-planet.com/anime/hajime-no-ippo-new-challenger,
Hajime no Ippo: The Fighting!,https://www.anime-planet.com/anime/hajime-no-ippo-the-fighting,
Bungo Stray Dogs 4th Season,https://www.anime-planet.com/anime/bungo-stray-dogs-4th-season,
Mushishi Zoku Shou 2nd Season,https://www.anime-planet.com/anime/mushishi-zoku-shou-2nd-season,
Wolf Children,https://www.anime-planet.com/anime/wolf-children,
86: Eighty-Six - Part II,https://www.anime-planet.com/anime/86-eighty-six-part-ii,
Chainsaw Man,https://www.anime-planet.com/anime/chainsaw-man,
Kaguya-sama: Love is War - The First Kiss Never Ends,https://www.anime-planet.com/anime/kaguya-sama-love-is-war-the-first-kiss-never-ends,
JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,https://www.anime-planet.com/anime/jojos-bizarre-adventure-stardust-crusaders-battle-in-egypt,
Natsume's Book of Friends Season 3,https://www.anime-planet.com/anime/natsumes-book-of-friends-season-3,
Code Geass: Lelouch of the Rebellion,https://www.anime-planet.com/anime/code-geass-lelouch-of-the-rebellion,
Yona of the Dawn: Zeno Arc,https://www.anime-planet.com/anime/yona-of-the-dawn-zeno-arc,
Kamisama Kiss: Kako-hen,https://www.anime-planet.com/anime/kamisama-kiss-kako-hen,
Mushishi Zoku Shou,https://www.anime-planet.com/anime/mushishi-zoku-shou,
Attack on Titan,https://www.anime-planet.com/anime/attack-on-titan,
SPY x FAMILY: Part II,https://www.anime-planet.com/anime/spy-x-family-part-ii,
My Hero Academia 6,https://www.anime-planet.com/anime/my-hero-academia-6,
JoJo's Bizarre Adventure: Diamond is Unbreakable,https://www.anime-planet.com/anime/jojos-bizarre-adventure-diamond-is-unbreakable,
Kingdom 4,https://www.anime-planet.com/anime/kingdom-4,
March Comes in like a Lion 2nd Season,https://www.anime-planet.com/anime/march-comes-in-like-a-lion-2nd-season,
Attack on Titan 2nd Season,https://www.anime-planet.com/anime/attack-on-titan-2nd-season,
Kaguya-sama: Love Is War?,https://www.anime-planet.com/anime/kaguya-sama-love-is-war-2,
The Disastrous Life of Saiki K. 2nd Season,https://www.anime-planet.com/anime/the-disastrous-life-of-saiki-k-2nd-season,
ERASED,https://www.anime-planet.com/anime/erased,
Attack on Titan: No Regrets,https://www.anime-planet.com/anime/attack-on-titan-no-regrets,
Kuroko's Basketball 3,https://www.anime-planet.com/anime/kurokos-basketball-3,
Princess Mononoke,https://www.anime-planet.com/anime/princess-mononoke,
My Hero Academia 2,https://www.anime-planet.com/anime/my-hero-academia-2,
Hajime no Ippo: Rising,https://www.anime-planet.com/anime/hajime-no-ippo-rising,
My Hero Academia 3,https://www.anime-planet.com/anime/my-hero-academia-3,
Moriarty the Patriot 2nd Season,https://www.anime-planet.com/anime/moriarty-the-patriot-2nd-season,
I Want to Eat Your Pancreas,https://www.anime-planet.com/anime/i-want-to-eat-your-pancreas,
Gintama: Porori-hen,https://www.anime-planet.com/anime/gintama-porori-hen,
Bocchi the Rock!,https://www.anime-planet.com/anime/bocchi-the-rock,
Hotarubi no Mori e,https://www.anime-planet.com/anime/hotarubi-no-mori-e,
Monogatari Series: Second Season,https://www.anime-planet.com/anime/monogatari-series-second-season,
SK8 the Infinity,https://www.anime-planet.com/anime/sk8-the-infinity,
Mob Psycho 100 III,https://www.anime-planet.com/anime/mob-psycho-100-iii,
Cowboy Bebop,https://www.anime-planet.com/anime/cowboy-bebop,
Descending Stories: Shouwa Genroku Rakugo Shinjuu,https://www.anime-planet.com/anime/descending-stories-shouwa-genroku-rakugo-shinjuu,
Sasaki and Miyano,https://www.anime-planet.com/anime/sasaki-and-miyano,
Dr. Stone,https://www.anime-planet.com/anime/dr-stone,
Kingdom 3,https://www.anime-planet.com/anime/kingdom-3,
Natsume's Book of Friends Season 2,https://www.anime-planet.com/anime/natsumes-book-of-friends-season-2,
Rascal Does Not Dream of a Dreaming Girl,https://www.anime-planet.com/anime/rascal-does-not-dream-of-a-dreaming-girl,
Made in Abyss,https://www.anime-planet.com/anime/made-in-abyss,
Owarimonogatari II,https://www.anime-planet.com/anime/owarimonogatari-ii,
