Anime,URL,Tags,Alts
Kidou Shinsengumi Moeyo Ken,https://www.anime-planet.com/anime/kidou-shinsengumi-moeyo-ken,"['Action', 'Comedy', 'Feudal Japan', 'Samurai', 'Based on a Video Game']","
Alt title: Moeyo Ken
"
Kuroi Neko,https://www.anime-planet.com/anime/kuroi-neko,"['Cats', 'Shorts', 'Original Work']","
Alt title: A Black Cat
"
Ketsuekigata-kun!,https://www.anime-planet.com/anime/ketsuekigata-kun,"['Comedy', 'Anthropomorphic', 'Educational', 'Non-Human Protagonists', 'Short Episodes', 'Based on a Manga']",
Fate/Grand Order x Himuro no Tenchi: 7-nin no Saikyou Ijin-hen,https://www.anime-planet.com/anime/fate-grand-order-x-himuro-no-tenchi-7-nin-no-saikyou-ijin-hen,"['Comedy', 'Fantasy', 'Sci Fi', 'Chibi', 'Magic', 'Master-Servant Relationship', 'Based on a Mobile Game']",
The Laws of the Universe: Part 0,https://www.anime-planet.com/anime/the-laws-of-the-universe-part-0,"['Sci Fi', 'Aliens', 'Happy Science', 'Person in a Strange World', 'Religion']","
Alt title: UFO Gakuen no Himitsu
"
Blood Reign: Curse of the Yoma,https://www.anime-planet.com/anime/blood-reign-curse-of-the-yoma,"['Horror', 'Assassins', 'Demons', 'Feudal Japan', 'Ninja', 'Supernatural', 'Explicit Violence', 'Based on a Manga']","
Alt titles: Curse of the Undead Yoma, Youma
"
Kemono Friends: Welcome to the Japari Park 2nd Season,https://www.anime-planet.com/anime/kemono-friends-welcome-to-the-japari-park-2nd-season,"['Adventure', 'Fantasy', 'Animal Protagonists', 'Anthropomorphic', 'Contemporary Fantasy', 'Non-Human Protagonists', 'Short Episodes', 'Zoo', 'Based on a Mobile Game', 'CG Animation']","
Alt title: Kemono Friends: Youkoso Japari Park 2nd Season
"
Mouse,https://www.anime-planet.com/anime/mouse,"['Ecchi', 'Harem', 'Maids', 'Thieves', 'Nudity', 'Sexual Content', 'Based on a Manga']",
Download: Namu Amida Butsu wa Ai no Uta,https://www.anime-planet.com/anime/download-namu-amida-butsu-wa-ai-no-uta,"['Action', 'Sci Fi', 'Cyberpunk', 'Original Work']",
Zetsumetsu Kigu Shoujo: Amazing Twins,https://www.anime-planet.com/anime/zetsumetsu-kigu-shoujo-amazing-twins,"['Action', 'Body Sharing', 'Magic', 'Supernatural', 'Superpowers', 'Original Work']",
Ichirin-Sha,https://www.anime-planet.com/anime/ichirin-sha,"['Action', 'Mecha', 'Sci Fi', 'Promotional', 'Shorts', 'Original Work']",
Arigatou Gomennasai,https://www.anime-planet.com/anime/arigatou-gomennasai,['Shorts'],
Acchi wa Kocchi,https://www.anime-planet.com/anime/acchi-wa-kocchi,"['Comedy', 'Abstract', 'Black and White', 'Shorts', 'Nudity']","
Alt title: Here and There
"
Genei Toshi,https://www.anime-planet.com/anime/genei-toshi,"['Abstract', 'Shorts']",
Aria the Scarlet Ammo AA,https://www.anime-planet.com/anime/aria-the-scarlet-ammo-aa,"['Action', 'Seinen', 'Guns', 'School Life', 'Supernatural', 'Based on a Manga']","
Alt title: Hidan no Aria AA
"
Inferious Wakusei Senshi Gaiden Condition Green,https://www.anime-planet.com/anime/inferious-wakusei-senshi-gaiden-condition-green,"['Action', 'Sci Fi', 'Nudity', 'Original Work']",
Koukyousei Million Arthur OP,https://www.anime-planet.com/anime/koukyousei-million-arthur-op,"['Fantasy', 'Opening Animation', 'Promotional', 'Based on a Mobile Game']",
Bernard,https://www.anime-planet.com/anime/bernard,"['Comedy', 'Animal Protagonists', 'Anthropomorphic', 'Bears', 'Korean Animation', 'Non-Human Protagonists', 'Short Episodes', 'Slapstick']","
Alt title: Backkom
"
Persona 3 the Movie Meets “Walkman”,https://www.anime-planet.com/anime/persona-3-the-movie-meets-walkman,"['Commercials', 'Promotional']",
Shining Hearts,https://www.anime-planet.com/anime/shining-hearts,"['Action', 'Comedy', 'Fantasy', 'Harem', 'Romance', 'Based on a Video Game']","
Alt title: Shining Hearts: Shiawase no Pan
"
Kemurikusa (2012),https://www.anime-planet.com/anime/kemurikusa-2012,"['Action', 'Sci Fi', 'Insects', 'Non-Human Protagonists', 'Siblings', 'Survival', 'CG Animation', 'Original Work']",
Windows Tablet no Uta,https://www.anime-planet.com/anime/windows-tablet-no-uta,['Comedy'],"
Alt title: Windows Tablet Song
"
Crazy Monkey,https://www.anime-planet.com/anime/crazy-monkey,"['Ecchi', 'Shorts', 'Nudity']",
Nisshoku Natsuko: It Seems like a Frog,https://www.anime-planet.com/anime/nisshoku-natsuko-it-seems-like-a-frog,['Frogs'],
Anime-gatari,https://www.anime-planet.com/anime/anime-gatari,"['Comedy', 'Otaku Culture', 'School Club', 'Short Episodes', 'Shorts', 'Flash Animation', 'Original Work']",
"White kanga""roo""'s song",https://www.anime-planet.com/anime/white-kangaroos-song,"['Animal Protagonists', 'Non-Human Protagonists', 'Shorts']","
Alt title: Shiro no Kanga""roo"" no Uta
"
Aquarian Age,https://www.anime-planet.com/anime/aquarian-age,"['Drama', 'Mystery', 'Romance', 'Music', 'Based on a Card Game']","
Alt title: Aquarian Age: Sign for Evolution
"
Saru Kani Gassen (Yokoku),https://www.anime-planet.com/anime/saru-kani-gassen-yokoku,"['Animal Protagonists', 'No Dialogue', 'Non-Human Protagonists', 'Shorts', 'CG Animation']",
Tripshots: Anger,https://www.anime-planet.com/anime/tripshots-anger,['Vocaloid'],
Hipira: The Little Vampire,https://www.anime-planet.com/anime/hipira-the-little-vampire,"['Adventure', 'Fantasy', 'Shounen', 'Child Protagonists', 'Family Friendly', 'Short Episodes', 'Vampires', 'Based on a Manga']",
Seikimatsu Darling,https://www.anime-planet.com/anime/seikimatsu-darling,"['BL', 'Comedy', 'Romance', 'Shounen-ai', 'Adult Couples', 'Based on a Manga']",
Ultra Dino Makera,https://www.anime-planet.com/anime/ultra-dino-makera,"['Desert', 'Dinosaurs', 'Korean Animation', 'Shorts', 'Original Work']",
Platonic Chain: Web,https://www.anime-planet.com/anime/platonic-chain-web,['Drama'],
Exercises with TakadaBear,https://www.anime-planet.com/anime/exercises-with-takadabear,"['Comedy', 'Animal Protagonists', 'Anthropomorphic', 'Bears', 'Non-Human Protagonists']",
Cook no Polka,https://www.anime-planet.com/anime/cook-no-polka,"['Black and White', 'Family Friendly', 'Minna no Uta']","
Alt title: Minna no Uta: Cook no Polka
"
