Anime,URL,Tags,Alts
Tekken: Bloodline,https://www.anime-planet.com/anime/tekken-bloodline,"['Action', 'Death of a Loved One', 'Martial Arts', 'Orphans', 'Revenge', 'Tournaments', 'Based on a Video Game']",
Valley of White Birds,https://www.anime-planet.com/anime/valley-of-white-birds,"['Fantasy', 'Chinese Animation', 'Shorts', 'Based on a Fairy Tale']","
Alt title: Bai Niao Gu
"
PJ Berri no Mogumogu Munyamunya,https://www.anime-planet.com/anime/pj-berri-no-mogumogu-munyamunya,"['Comedy', 'Fantasy', 'Animal Protagonists', 'Anthropomorphic', 'Non-Human Protagonists', 'Short Episodes', 'Based on a Video Game']",
C³,https://www.anime-planet.com/anime/c3,"['Comedy', 'Ecchi', 'Fantasy', 'Magic', 'School Life', 'Based on a Light Novel']","
Alt title: C³: Cube x Cursed x Curious
"
Delete Beach,https://www.anime-planet.com/anime/delete-beach,"['Shorts', 'Original Work']",
Burst Angel,https://www.anime-planet.com/anime/burst-angel,"['Action', 'Mecha', 'Episodic', 'Mercenaries', 'Original Work']","
Alt title: Bakuretsu Tenshi
"
Tales of Puppet,https://www.anime-planet.com/anime/tales-of-puppet,"['Comedy', 'Fantasy', 'Short Episodes', 'Based on a Video Game']",
millennium parade: Philip,https://www.anime-planet.com/anime/millennium-parade-philip,"['Action', 'Drama', 'Animal Protagonists', 'Anthropomorphic', 'Violence']",
Punch Line,https://www.anime-planet.com/anime/punch-line,"['Comedy', 'Ecchi', 'Sci Fi', 'Boarding House', 'Ghosts', 'Neighbors', 'noitaminA', 'Supernatural', 'Superpowers', 'Time Travel', 'Bullying', 'Original Work']",
One Piece: Recapping Fierce Fights! Straw Hats vs. Tobi Roppo,https://www.anime-planet.com/anime/one-piece-recapping-fierce-fights-straw-hats-vs-tobi-roppo,"['Action', 'Shounen', 'Pirates', 'Recap', 'Violence', 'Based on a Manga']","
Alt title: One Piece: Dai Gekisen Tokushuu! Mugiwara no Ichimi vs. Tobi Roppou
"
Idol Densetsu Eriko,https://www.anime-planet.com/anime/idol-densetsu-eriko,"['Drama', 'Idols', 'Music', 'Showbiz', 'Original Work']","
Alt title: Legendary Idol Eriko
"
Battle Spirits: Shounen Toppa Version,https://www.anime-planet.com/anime/battle-spirits-shounen-toppa-version,"['Adventure', 'Proxy Battles', 'Based on a Card Game']",
Kasumin 3rd Season,https://www.anime-planet.com/anime/kasumin-3rd-season,"['Comedy', 'Fantasy', 'Family Friendly', 'Original Work']",
rerulili: Lovely Ensemble,https://www.anime-planet.com/anime/rerulili-lovely-ensemble,['Vocaloid'],
Kimagure Orange Road: Shounen Jump Special,https://www.anime-planet.com/anime/kimagure-orange-road-shounen-jump-special,"['Comedy', 'Romance', 'Shounen', 'Love Triangle', 'Supernatural', 'Based on a Manga']",
Gokyoudai Monogatari,https://www.anime-planet.com/anime/gokyoudai-monogatari,"['Comedy', 'Slice of Life', 'Siblings', 'Based on a Manga']",
Serph: feather (overdrive version),https://www.anime-planet.com/anime/serph-feather-overdrive-version,['Abstract'],
Minky Momo in Tabidachi no Eki,https://www.anime-planet.com/anime/minky-momo-in-tabidachi-no-eki,"['Fantasy', 'Magical Girl', 'Family Friendly', 'Magic', 'Original Work']","
Alt title: Minky Momo in The Station of Your Memories
"
Keina Suda: Alba,https://www.anime-planet.com/anime/keina-suda-alba,['Abstract'],
Kämpfer,https://www.anime-planet.com/anime/kampfer,"['Action', 'Comedy', 'Ecchi', 'Magical Girl', 'Gender Bender', 'Magic', 'Based on a Light Novel']",
Aquarion Love,https://www.anime-planet.com/anime/aquarion-love,"['Mecha', 'Sci Fi']","
Alt title: Sousei no Aquarion Love
"
Kameari Park Precinct,https://www.anime-planet.com/anime/kameari-park-precinct,"['Action', 'Comedy', 'Police', 'Based on a Manga']","
Alt title: Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie
"
Pianoman,https://www.anime-planet.com/anime/pianoman,"['Fantasy', 'Amnesia', 'Music', 'Shorts', 'CG Animation', 'Original Work']",
Arigatou,https://www.anime-planet.com/anime/arigatou,"['Family Friendly', 'Minna no Uta']","
Alt title: Minna no Uta: Arigatou
"
The Iceblade Sorcerer Shall Rule the World,https://www.anime-planet.com/anime/the-iceblade-sorcerer-shall-rule-the-world,"['Action', 'Fantasy', 'Magic', 'Magic School', 'Overpowered Main Characters', 'School Life', 'Based on a Light Novel']","
Alt title: Hyouken no Majutsushi ga Sekai wo Suberu: Sekai Saikyou no Majutsushi de Aru Shounen wa, Majutsu Gakuin ni Nyuugakusuru
"
Ran,https://www.anime-planet.com/anime/ran,"['No Dialogue', 'Rabbits', 'Shorts']",
RAISE A SUILEN: CORUSCATE -DNA-,https://www.anime-planet.com/anime/raise-a-suilen-coruscate-dna,['Music'],
Ichigo 100%,https://www.anime-planet.com/anime/ichigo-100,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'Shounen', 'Based on a Manga']","
Alt title: Strawberry 100%
"
In Another World With My Smartphone 2,https://www.anime-planet.com/anime/in-another-world-with-my-smartphone-2,"['Adventure', 'Comedy', 'Fantasy', 'Harem', 'Shounen', 'Cheats', 'Isekai', 'Overpowered Main Characters', 'Person in a Strange World', 'Based on a Light Novel']","
Alt title: Isekai wa Smartphone to Tomo ni. 2
"
Kanokon,https://www.anime-planet.com/anime/kanokon,"['Ecchi', 'Romance', 'Animal Characteristics', 'Non-Human Protagonists', 'School Life', 'Sudden Girlfriend Appearance', 'Supernatural', 'Nudity', 'Sexual Content', 'Based on a Light Novel']",
Musabi Daibakuhatsu,https://www.anime-planet.com/anime/musabi-daibakuhatsu,"['Action', 'Shorts']","
Alt title: Musabi Explosion
"
Muteki-kyuu*Believer / Mirai Harmony,https://www.anime-planet.com/anime/muteki-kyuubeliever-mirai-harmony,"['Dancing', 'Idols']",
Gongitsune,https://www.anime-planet.com/anime/gongitsune,"['Fantasy', 'Animal Protagonists', 'Non-Human Protagonists', 'Based on a Novel']",
Mo Ri Shu Guang,https://www.anime-planet.com/anime/mo-ri-shu-guang,"['Action', 'Chinese Animation', 'Supernatural', 'Zombies']","
Alt title: Dawn of the World
"
Master of Mosquiton OVA,https://www.anime-planet.com/anime/master-of-mosquiton-ova,"['Action', 'Historical', 'Non-Human Protagonists', 'Supernatural', 'Vampires', 'Based on a Manga']",
Pokemon XY: Pikachu the Movie,https://www.anime-planet.com/anime/pokemon-xy-pikachu-the-movie,"['Comedy', 'Fantasy', 'Shounen', 'Family Friendly', 'Monsters', 'Superheroes', 'Based on a Video Game']",
Yomigaeru Sora Pilot,https://www.anime-planet.com/anime/yomigaeru-sora-pilot,"['Action', 'Drama', 'Aviation', 'Military', 'Work Life', 'Original Work']",
Sam to Chip no wa Hachamecha Dai Race,https://www.anime-planet.com/anime/sam-to-chip-no-wa-hachamecha-dai-race,"['Animal Protagonists', 'Cars', 'Family Friendly', 'Non-Human Protagonists', 'Racing', 'Sanrio Characters']",
kemu: Chikyuu Saigo no Kokuhaku o,https://www.anime-planet.com/anime/kemu-chikyuu-saigo-no-kokuhaku-o,['Vocaloid'],
Gene Diver,https://www.anime-planet.com/anime/gene-diver,"['Sci Fi', 'Educational', 'Prehistoric', 'Virtual Reality', 'Original Work']",
Yakenohara: Relaxin',https://www.anime-planet.com/anime/yakenohara-relaxin,['Stop Motion Animation'],
Handsome Kenya: Kurou Shiro,https://www.anime-planet.com/anime/handsome-kenya-kurou-shiro,"['Black and White', 'Dancing', 'Music']",
Monsuno: Combat Chaos,https://www.anime-planet.com/anime/monsuno-combat-chaos,"['Action', 'Adventure', 'Fantasy', 'Monsters', 'Original Work']","
Alt title: Juusen Battle Monsuno (2013)
"
Chocomatsu-san Valentine's Day-hen,https://www.anime-planet.com/anime/chocomatsu-san-valentines-day-hen,"['Short Episodes', 'Based on a Manga']",
"Love Live! Sunshine!!: Watashitachi, Kagayakitai!!",https://www.anime-planet.com/anime/love-live-sunshine-watashitachi-kagayakitai,"['All-Girls School', 'Idols', 'Music', 'Recap', 'School Club', 'School Life']","
Alt title: Love Live! Sunshine!! Recap
"
Eagle Sam,https://www.anime-planet.com/anime/eagle-sam,"['Comedy', 'Sports', 'Animal Protagonists', 'Anthropomorphic', 'Birds', 'Episodic', 'Non-Human Protagonists']","
Alt title: Sam the Olympic Eagle
"
Assault Lily: Last Bullet OP,https://www.anime-planet.com/anime/assault-lily-last-bullet-op,"['Action', 'Opening Animation', 'Promotional', 'Based on a Video Game']",
The Boy Who Saw The Wind,https://www.anime-planet.com/anime/the-boy-who-saw-the-wind,"['Adventure', 'Fantasy', 'Military', 'Orphans', 'Superpowers', 'Violence', 'Based on a Novel']","
Alt title: Kaze wo mita Shounen
"
DECO*27: Relationship Scramble,https://www.anime-planet.com/anime/deco-27-relationship-scramble,['Vocaloid'],"
Alt title: DECO*27: Scramble Kousai
"
Chiisana Penguin Lolo no Bouken,https://www.anime-planet.com/anime/chiisana-penguin-lolo-no-bouken,"['Animal Protagonists', 'Antarctica', 'Birds', 'Non-Human Protagonists', 'Penguins', 'Violence']","
Alt title: The Adventures of Scamper the Penguin
"
Marginal#4: Kiss kara Tsukuru Big Bang,https://www.anime-planet.com/anime/marginal4-kiss-kara-tsukuru-big-bang,"['Comedy', 'Idols', 'School Life', 'Showbiz', 'Based on an Otome Game', 'Based on a Visual Novel']","
Alt title: MARGINAL #4 the Animation
"
The Frog Kingdom,https://www.anime-planet.com/anime/the-frog-kingdom,"['Sports', 'Animal Protagonists', 'Anthropomorphic', 'Chinese Animation', 'Frogs', 'Non-Human Protagonists', 'CG Animation']","
Alt title: Qingwa Wangguo
"
Cocomong 2,https://www.anime-planet.com/anime/cocomong-2,"['Episodic', 'Family Friendly', 'Food Protagonists', 'Korean Animation', 'Non-Human Protagonists', 'CG Animation']","
Alt title: Naengjang-go Nala Cocomong 2
"
Hayan Ma-eum Baeggu,https://www.anime-planet.com/anime/hayan-ma-eum-baeggu,"['Adventure', 'Dogs', 'Korean Animation']","
Alt title: White Heart Baekgu
"
Radiohead: 15 Step,https://www.anime-planet.com/anime/radiohead-15-step,[],
Majokko Tickle,https://www.anime-planet.com/anime/majokko-tickle,"['Fantasy', 'Magic', 'Witches']",
Love & Gift 2015 Christmas: Beautiful Stories,https://www.anime-planet.com/anime/love-gift-2015-christmas-beautiful-stories,"['Christmas', 'Promotional', 'Shorts']",
Hodo Station OP (Hiromu Oka),https://www.anime-planet.com/anime/hodo-station-op-hiromu-oka,"['Abstract', 'No Dialogue', 'Opening Animation', 'Promotional']",
Dragon Ball: Goku's Traffic Safety,https://www.anime-planet.com/anime/dragon-ball-gokus-traffic-safety,"['Educational', 'Shorts']",
Umayuru,https://www.anime-planet.com/anime/umayuru,"['Comedy', 'Sports', 'All-Girls School', 'Animal Characteristics', 'Anthropomorphic', 'Chibi', 'Horse Racing', 'Non-Human Protagonists', 'School Life', 'Short Episodes', 'Based on a Mobile Game']",
Chrono Crusade: Azmaria's Extra Lessons,https://www.anime-planet.com/anime/chrono-crusade-azmarias-extra-lessons,"['Comedy', 'Shounen', 'America', 'Religion', 'Based on a Manga']","
Alt title: Chrno Crusade: Az demo Wakaru Chrno Crusade Kouza
"
Girls Bravo,https://www.anime-planet.com/anime/girls-bravo,"['Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'Shounen', 'Gynophobia', 'Person in a Strange World', 'School Life', 'Sudden Girlfriend Appearance', 'Nudity', 'Based on a Manga']",
Little Women,https://www.anime-planet.com/anime/little-women,"['Drama', '19th Century', 'America', 'Family Friendly', 'Family Life', 'Historical', 'Siblings', 'World Masterpiece Theater', 'Based on a Novel']","
Alt title: Ai no Wakakusa Monogatari
"
Working Boys,https://www.anime-planet.com/anime/working-boys,"['Family Friendly', 'Short Episodes', 'Stop Motion Animation', 'Original Work']",
The Prince of Tennis: The Band of Princes Film Kick the Future,https://www.anime-planet.com/anime/the-prince-of-tennis-the-band-of-princes-film-kick-the-future,[],"
Alt title: Tennis no Ouji-sama: The Band of Princes Film Kick the Future
"
Kousoku Denjin Albegus,https://www.anime-planet.com/anime/kousoku-denjin-albegus,"['Action', 'Mecha', 'Sci Fi', 'Aliens', 'Combining Mecha', 'Original Work']","
Alt title: Lightspeed Electroid Albegas
"
Eun-Sang Lee: I Just Wanna Sing,https://www.anime-planet.com/anime/eun-sang-lee-i-just-wanna-sing,['Korean Animation'],
Attack No. 1: Namida no Sekai Senshuken,https://www.anime-planet.com/anime/attack-no-1-namida-no-sekai-senshuken,"['Sports', 'Volleyball', 'Based on a Manga']",
Risu no Panache,https://www.anime-planet.com/anime/risu-no-panache,"['Family Friendly', 'Shorts']","
Alt title: Panache the Squirrel
"
Fragments,https://www.anime-planet.com/anime/fragments,"['Black and White', 'No Dialogue', 'Shorts']","
Alt title: Kakera
"
Kazaguruma (1996),https://www.anime-planet.com/anime/kazaguruma-1996,"['Family Friendly', 'Minna no Uta']","
Alt title: Minna no Uta: Kazaguruma (1996)
"
"Wake Up, Girls!",https://www.anime-planet.com/anime/wake-up-girls,"['Drama', 'Slice of Life', 'Idols', 'Music', 'Showbiz', 'Original Work']",
Dragon Ball Z Movie 4: Lord Slug,https://www.anime-planet.com/anime/dragon-ball-z-movie-4-lord-slug,"['Action', 'Shounen', 'Aliens', 'Hand to Hand Combat', 'Martial Arts', 'Superpowers', 'Based on a Manga']","
Alt title: Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu
"
Here is Greenwood,https://www.anime-planet.com/anime/here-is-greenwood,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Boarding School', 'Transfer Students', 'Based on a Manga']","
Alt title: Koko wa Greenwood
"
Shouwa Monogatari TV,https://www.anime-planet.com/anime/shouwa-monogatari-tv,"['Drama', 'Slice of Life', 'Family Life', 'Historical', 'Original Work']",
