Anime,URL,Tags,Alts
aiwokomete,https://www.anime-planet.com/anime/ai-wo-komete,"['Comedy', 'Slice of Life', 'Food and Beverage', 'Food Protagonists', 'Non-Human Protagonists', 'Shorts', 'Original Work']",
crazylittlething,https://www.anime-planet.com/anime/crazy-little-thing,"['Drama', 'Horror', 'Black and White', 'Shorts', 'Mature Themes', 'Suicide']","
Alt title: Yodomi no Sakagi
"
jiicorocomic,https://www.anime-planet.com/anime/jii-coro-comic,"['Comedy', 'Gag', 'Slapstick', 'Time Travel']",
oni,https://www.anime-planet.com/anime/oni,"['Countryside', 'Demons', 'Historical', 'Japanese Mythology', 'No Dialogue', 'Shorts', 'Siblings', 'Stop Motion Animation', 'Supernatural', 'Explicit Violence']","
Alt title: The Demon
"
kozarunoburanko,https://www.anime-planet.com/anime/kozaru-no-buranko,"['Animal Protagonists', 'Black and White', 'Non-Human Protagonists', 'Shorts']",
classroomforheroes,https://www.anime-planet.com/anime/classroom-for-heroes,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Demons', 'Magic', 'Magic School', 'Overpowered Main Characters', 'School Life', 'Transfer Students', 'Violence', 'Based on a Light Novel']","
Alt title: Eiyuu Kyoushitsu
"
bombermanjetters,https://www.anime-planet.com/anime/bomberman-jetters,"['Action', 'Adventure', 'Comedy', 'Sci Fi', 'Family Friendly', 'Police', 'Based on a Video Game']",
themoonthatfellintothesea,https://www.anime-planet.com/anime/the-moon-that-fell-into-the-sea,"['Fantasy', 'Ocean', 'Shorts', 'Original Work']","
Alt title: Umi ni Ochita Tsuki no Hanashi
"
honpofullkawaskirt,https://www.anime-planet.com/anime/honpo-fullkawa-skirt,"['Drama', 'Abstract', 'Adult Couples', 'Infidelity', 'Married Life']",
thekingoffightersanotherday,https://www.anime-planet.com/anime/the-king-of-fighters-another-day,"['Action', 'Martial Arts', 'Short Episodes', 'Violence', 'Based on a Video Game']",
ivesomehowgottenstrongerwheniimprovedmyfarmrelatedskills,https://www.anime-planet.com/anime/ive-somehow-gotten-stronger-when-i-improved-my-farm-related-skills,"['Adventure', 'Fantasy', 'Harem', 'Slice of Life', 'Agriculture', 'Countryside', 'Game Elements', 'Medieval', 'Overpowered Main Characters', 'Based on a Light Novel']","
Alt title: Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.
"
sasakureukdeco2739,https://www.anime-planet.com/anime/sasakure-uk-deco-27-39,['Vocaloid'],
