Anime,URL,Tags,Alts
johnsonxtakanotsumetatakaejokinshitennou,https://www.anime-planet.com/anime/johnson-x-taka-no-tsume-tatakae-jokin-shitennou,"['Comedy', 'Commercials', 'Promotional', 'Short Episodes', 'Flash Animation']","
Alt title: Johnson x Eagle Talon: Tatakae! Jokin Shitennou
"
bokuranoreminiscence,https://www.anime-planet.com/anime/bokurano-recap,"['Mecha', 'Sci Fi', 'Seinen', 'High Stakes Games', 'Melancholy', 'Play or Die', 'Psychological', 'PVE', 'Recap', 'Mature Themes', 'Based on a Manga']","
Alt title: Bokurano: Tsuisou
"
amonapocalypseofdevilman,https://www.anime-planet.com/anime/amon-apocalypse-of-devilman,"['Action', 'Horror', 'Seinen', 'Demons', 'Supernatural', 'Explicit Violence', 'Nudity', 'Based on a Manga']","
Alt title: Amon Devilman Mokushiroku
"
yamishibaijapaneseghoststories5thseason,https://www.anime-planet.com/anime/yamishibai-japanese-ghost-stories-5th-season,"['Horror', 'Episodic', 'Short Episodes', 'Supernatural', 'Urban Legend', 'Original Work']",
rangwomenshaoba,https://www.anime-planet.com/anime/rang-wo-men-shao-ba,"['Action', 'Fantasy', 'Sci Fi', 'Chinese Animation', 'Magic', 'School Club', 'School Life', 'Short Episodes']","
Alt title: Fire x Fire
"
wondergarden,https://www.anime-planet.com/anime/wonder-garden,"['Fantasy', 'Promotional', 'Shorts']","
Alt title: Control Bear Short Animation Film [Wonder Garden]
"
mthead,https://www.anime-planet.com/anime/mt-head,"['Fantasy', 'Rakugo', 'Shorts']","
Alt title: Atama Yama
"
orangestarkaisei,https://www.anime-planet.com/anime/orangestar-kaisei,['Vocaloid'],
judoboy,https://www.anime-planet.com/anime/judo-boy,"['Sports', 'Hand to Hand Combat', 'Judo', 'Martial Arts', 'Revenge', 'Nudity', 'Based on a Manga']","
Alt title: Kurenai Sanshirou
"
chiisaiakimitsuketa,https://www.anime-planet.com/anime/chiisai-aki-mitsuketa,"['Family Friendly', 'Minna no Uta']","
Alt title: Minna no Uta: Chiisai Aki Mitsuketa
"
mameshibathedvdgreenpeashibanokutsujoku,https://www.anime-planet.com/anime/mameshiba-the-dvd-green-pea-shiba-no-kutsujoku,"['Comedy', 'Food Protagonists', 'Non-Human Protagonists']",
acertainmagicalindex10thanniversarypv,https://www.anime-planet.com/anime/a-certain-magical-index-10th-anniversary-pv,"['Sci Fi', 'Magic', 'Promotional', 'Based on a Light Novel']","
Alt title: Toaru Majutsu no Index 10th Anniversary PV
"
tenkamutekinogouyaaman,https://www.anime-planet.com/anime/tenka-muteki-no-gouyaaman,"['Minna no Uta', 'Stop Motion Animation', 'Superheroes']","
Alt title: Minna no Uta: Tenka Muteki no Gouyaaman★
"
fettutoccinetogummiseijin,https://www.anime-planet.com/anime/fettu-to-ccine-to-gummi-seijin,"['Comedy', 'Anthropomorphic', 'Commercials', 'Non-Human Protagonists', 'Promotional', 'Shorts']",
infinitestratos2infinitewedding,https://www.anime-planet.com/anime/infinite-stratos-2-infinite-wedding,"['Comedy', 'Ecchi', 'Harem', 'Mecha', 'Romance', 'Picture Drama', 'Power Suits', 'Based on a Light Novel']",
codegeasslelouchoftherebelliondvdmagazinepicturedrama,https://www.anime-planet.com/anime/code-geass-lelouch-of-the-rebellion-dvd-magazine-picture-drama,"['Comedy', 'Picture Drama']","
Alt title: Code Geass: Hangyaku no Lelouch DVD Magazine Picture Drama
"
sougennokotenguri,https://www.anime-planet.com/anime/sougen-no-ko-tenguri,"['Adventure', 'Countryside', 'Historical', 'Promotional', 'Shorts']","
Alt title: Tenguri, the Boy of the Plains
"
mahoutsukaireimeikixmachikadomazoku2choumecollabminianime,https://www.anime-planet.com/anime/mahoutsukai-reimeiki-x-machikado-mazoku-2-choume-collab-mini-anime,"['Comedy', 'Chibi', 'Non-Human Protagonists', 'Promotional']",
betterman,https://www.anime-planet.com/anime/betterman,"['Mecha', 'Sci Fi']",
243seiinhighschoolboysvolleyballteamfukuibenkouza,https://www.anime-planet.com/anime/243-seiin-high-school-boys-volleyball-team-fukui-ben-kouza,"['Chibi', 'Educational', 'Short Episodes', 'Based on a Light Novel']","
Alt title: 2.43: Seiin Koukou Danshi Volley-bu - Fukui-ben Kouza
"
7fundewakarumyheroacademia,https://www.anime-planet.com/anime/7-fun-de-wakaru-my-hero-academia,"['Action', 'Shounen', 'Recap', 'Superheroes', 'Superpowers', 'Based on a Manga']","
Alt title: 7-fun de Wakaru: Boku no Hero Academia!
"
hamefuracatarinatomanabou,https://www.anime-planet.com/anime/hamefura-catarina-to-manabou,"['Comedy', 'Fantasy', 'Chibi', 'Short Episodes', 'Based on a Light Novel', 'Flash Animation']","
Alt title: HameFura: Learning with Catarina
"
delinquenthamsterspapalionftpisostudio,https://www.anime-planet.com/anime/delinquent-hamsters-papalion-ft-piso-studio,"['Comedy', 'Animal Protagonists', 'Delinquents', 'Hamsters', 'Non-Human Protagonists', 'Shorts', 'Flash Animation']","
Alt title: Yankee Hamster / papalion ft. Piso Studio
"
gohankaijuupap,https://www.anime-planet.com/anime/gohan-kaijuu-pap,"['Comedy', 'Anthropomorphic', 'Food and Beverage', 'Food Protagonists', 'Monsters', 'Non-Human Protagonists', 'Short Episodes']",
obakedeiikarahayakukite,https://www.anime-planet.com/anime/obake-de-ii-kara-hayaku-kite,"['Animal Protagonists', 'Melancholy', 'Minna no Uta', 'Non-Human Protagonists', 'Pets']",
riftsuyoku,https://www.anime-planet.com/anime/rif-tsuyoku,['Slice of Life'],
bakkyuuhitcrashbdaman,https://www.anime-planet.com/anime/bakkyuu-hit-crash-b-daman,"['Action', 'Adventure', 'Fantasy', 'Shounen', 'Family Friendly']","
Alt title: Crash B-Daman
"
inumarudashi,https://www.anime-planet.com/anime/inumarudashi,"['Comedy', 'Crude', 'Short Episodes', 'Nudity', 'Based on a Manga', 'Flash Animation']",
cookinidolaimaimain,https://www.anime-planet.com/anime/cookin-idol-ai-mai-main,"['Cooking', 'Family Friendly', 'Food and Beverage', 'Original Work']",
welcometopiacarrot2dx,https://www.anime-planet.com/anime/welcome-to-pia-carrot-2-dx,"['Comedy', 'Ecchi', 'Romance', 'Slice of Life', 'Restaurants', 'Work Life', 'Based on an Eroge', 'Based on a Visual Novel']","
Alt title: Pia Carrot e Youkoso!! 2 DX
"
gathering,https://www.anime-planet.com/anime/gathering,"['No Dialogue', 'Shorts', 'Stop Motion Animation']","
Alt title: Shuushuuka no Sanpo
"
deaerutteiine,https://www.anime-planet.com/anime/deaerutte-ii-ne,['Minna no Uta'],"
Alt title: Minna no Uta: Deaerutte Ii ne
"
thenorthfacejapancmbaby2016springsummer,https://www.anime-planet.com/anime/the-north-face-japan-cm-baby-2016-spring-summer,"['Commercials', 'No Dialogue', 'Promotional', 'Stop Motion Animation']",
wanpakuoomukashikumkum,https://www.anime-planet.com/anime/wanpaku-oomukashi-kum-kum,"['Comedy', 'Prehistoric']",
licensedbyroyal,https://www.anime-planet.com/anime/licensed-by-royal,"['Action', 'Drama', 'Conspiracy', 'Original Work']","
Alt title: L/R: Licensed by Royalty
"
