Anime,URL,Tags,Alts
Omoide no Green Grass,https://www.anime-planet.com/anime/omoide-no-green-grass,"['Family Friendly', 'Minna no Uta']",
Race Eizou-hen,https://www.anime-planet.com/anime/race-eizou-hen,"['Sports', 'Commercials', 'Promotional', 'Racing', 'Short Episodes']",
Atom: The Beginning,https://www.anime-planet.com/anime/atom-the-beginning,"['Sci Fi', 'Seinen', 'Non-Human Protagonists', 'Robots', 'Based on a Manga']",
Drops of Life,https://www.anime-planet.com/anime/drops-of-life,['Shorts'],
Tantei Opera Milky Holmes: Summer Special,https://www.anime-planet.com/anime/tantei-opera-milky-holmes-summer-special,"['Comedy', 'Mystery', 'Detectives']",
group_inou: ORIENTATION,https://www.anime-planet.com/anime/group-inou-orientation,['Comedy'],
Nisekoi: Four Seasons,https://www.anime-planet.com/anime/nisekoi-four-seasons,"['Harem', 'Romance', 'Shounen', 'Fake Romance', 'Recap', 'Based on a Manga']",
DIG-ROCK -dice- Type: ICxHR - Impish Crow: RAM CM,https://www.anime-planet.com/anime/dig-rock-dice-type-icxhr-impish-crow-ram-cm,"['Commercials', 'Promotional']",
Tiger Mask,https://www.anime-planet.com/anime/tiger-mask,"['Shounen', 'Sports', 'Hand to Hand Combat', 'Wrestling', 'Based on a Manga']",
Sadamitsu the Destroyer,https://www.anime-planet.com/anime/sadamitsu-the-destroyer,"['Action', 'Sci Fi', 'Seinen', 'Aliens', 'Androids', 'Body Sharing', 'Delinquents', 'Non-Human Protagonists', 'Robots', 'Violence', 'Based on a Manga']","
Alt title: Hakaima Sadamitsu
"
Sunset Flower Blooming,https://www.anime-planet.com/anime/sunset-flower-blooming,"['Aging', 'Historical', 'No Dialogue', 'Shorts']","
Alt title: Yuugeshou
"
Engage Kiss,https://www.anime-planet.com/anime/engage-kiss,"['Action', 'Comedy', 'Romance', 'Demons', 'Island', 'Possessive Lovers', 'Sexual Content', 'Original Work']",
My Wife Is the Student Council President! OVA,https://www.anime-planet.com/anime/my-wife-is-the-student-council-president-ova,"['Comedy', 'Ecchi', 'Romance', 'Shounen', 'School Life', 'Shorts', 'Student Council', 'Sudden Girlfriend Appearance', 'Nudity', 'Sexual Content', 'Based on a Manga']","
Alt title: Okusama ga Seito Kaichou! OVA
"
Skate-Leading Stars,https://www.anime-planet.com/anime/skate-leading-stars,"['Sports', 'Ice Skating', 'Rivalries', 'School Club', 'Original Work']",
