Anime,URL,Tags,Alts
Shiina,https://www.anime-planet.com/anime/shiina,"['Shorts', 'Stop Motion Animation']","
Alt title: Hollow Mind
"
Happy Zoo,https://www.anime-planet.com/anime/happy-zoo,"['Animal Protagonists', 'Non-Human Protagonists', 'Shorts']",
Alice on the Beach,https://www.anime-planet.com/anime/alice-on-the-beach,"['Abstract', 'Chinese Animation', 'Shorts', 'Original Work']",
Xiaoyuan San Jianke,https://www.anime-planet.com/anime/xiaoyuan-san-jianke,"['Chinese Animation', 'Short Episodes']",
Wu Ren Dao Da Maoxian,https://www.anime-planet.com/anime/wu-ren-dao-da-maoxian,"['Chinese Animation', 'Family Friendly', 'Short Episodes']",
Liang Liang Kan Hai,https://www.anime-planet.com/anime/liang-liang-kan-hai,"['Adventure', 'Animal Protagonists', 'Chinese Animation', 'Non-Human Protagonists']",
Mike Chuanqi,https://www.anime-planet.com/anime/mike-chuanqi,"['Fantasy', 'Anthropomorphic', 'Chinese Animation', 'Non-Human Protagonists', 'Short Episodes']","
Alt title: Mike's Story
"
Ao Ao Long,https://www.anime-planet.com/anime/ao-ao-long,"['Fantasy', 'Anthropomorphic', 'Chinese Animation', 'Non-Human Protagonists', 'Short Episodes']",
Xiyou Tonghua,https://www.anime-planet.com/anime/xiyou-tonghua,"['Adventure', 'Fantasy', 'Animal Protagonists', 'Chinese Animation', 'Non-Human Protagonists']",
Xing Mao Wenhua Da Jiangtang: Mingzhu Gushi,https://www.anime-planet.com/anime/xing-mao-wenhua-da-jiangtang-mingzhu-gushi,"['Chinese Animation', 'Short Episodes']",
Mahou no Princess Minky Momo: Yume wo Dakishimete Specials,https://www.anime-planet.com/anime/mahou-no-princess-minky-momo-yume-wo-dakishimete-specials,['Magical Girl'],
Tongari Boushi no Memoru: Mariel no Housekibako,https://www.anime-planet.com/anime/tongari-boushi-no-memoru-mariel-no-housekibako,"['Fantasy', 'Aliens', 'Europe', 'Family Friendly']",
Ki wo Tsukeyou: Douro wa Kiken ga Ippai!,https://www.anime-planet.com/anime/ki-wo-tsukeyou-douro-wa-kiken-ga-ippai,"['Animal Protagonists', 'Anthropomorphic', 'Educational', 'Family Friendly', 'Koalas', 'Non-Human Protagonists']",
Daifuku-kun @ Kin Tele 2nd Season,https://www.anime-planet.com/anime/daifuku-kun-kin-tele-2nd-season,['Comedy'],
Captain Kuppa,https://www.anime-planet.com/anime/captain-kuppa,"['Action', 'Adventure', 'Desert', 'Based on a Manga']","
Alt title: Sabaku no Kaizoku! Captain Kuppa
"
Washimo 7,https://www.anime-planet.com/anime/washimo-7,"['Comedy', 'Short Episodes', 'Based on a Picture Book']",
Ujudaejang Aekkunun,https://www.anime-planet.com/anime/ujudaejang-aekkunun,"['Action', 'Adventure', 'Sci Fi', 'Korean Animation', 'Outer Space']",
Shima Shima Tora no Shimajirou no Koutsuu Anzen,https://www.anime-planet.com/anime/shima-shima-tora-no-shimajirou-no-koutsuu-anzen,"['Animal Protagonists', 'Anthropomorphic', 'Educational', 'Family Friendly', 'Non-Human Protagonists']",
Appare! Momotarou no Koutsuu Anzen,https://www.anime-planet.com/anime/appare-momotarou-no-koutsuu-anzen,"['Fantasy', 'Educational', 'Family Friendly', 'Japanese Mythology', 'Based on a Fairy Tale']",
Pleasant Goat and Big Big Wolf: Mighty Goat Squad,https://www.anime-planet.com/anime/pleasant-goat-and-big-big-wolf-mighty-goat-squad,"['Adventure', 'Sci Fi', 'Animal Protagonists', 'Anthropomorphic', 'Chinese Animation', 'Family Friendly', 'Non-Human Protagonists', 'CG Animation', 'Original Work']","
Alt title: Xi Yangyang Yu Hui Tailang: Yangyang Qu Maoxian
"
ColoColo Animal ABC@Kin Tele,https://www.anime-planet.com/anime/colocolo-animal-abc-kin-tele,"['Comedy', 'Animal Protagonists', 'Family Friendly', 'Short Episodes']",
Moguai Che Xiaodui,https://www.anime-planet.com/anime/moguai-che-xiaodui,"['Cars', 'Chinese Animation', 'Family Friendly', 'Short Episodes']",
Phantasm,https://www.anime-planet.com/anime/phantasm,['Shorts'],
Hen Chun Hen Aimei,https://www.anime-planet.com/anime/hen-chun-hen-aimei,"['Harem', 'Romance', 'Chinese Animation', 'School Life', 'Based on a Web Novel']","
Alt title: So Pure, So Flirtatious
"
Xingfu Lushang,https://www.anime-planet.com/anime/xingfu-lushang,"['Chinese Animation', 'Short Episodes']",
Pang Xiong He Da Hu,https://www.anime-planet.com/anime/pang-xiong-he-da-hu,"['Animal Protagonists', 'Anthropomorphic', 'Bears', 'Chinese Animation', 'Short Episodes']",
