Anime,URL,Tags,Alts
Attack on Titan The Final Season: The Final Chapters,https://www.anime-planet.com/anime/attack-on-titan-the-final-season-the-final-chapters,"['Action', 'Drama', 'Fantasy', 'Shounen', 'Dark Fantasy', 'Military', 'War', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Suicide', 'Based on a Manga']","
Alt titles: Attack on Titan The Final Season: Part III, Shingeki no Kyojin The Final Season: Kanketsu-hen
"
Fullmetal Alchemist: Brotherhood,https://www.anime-planet.com/anime/fullmetal-alchemist-brotherhood,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Shounen', 'Conspiracy', 'Death of a Loved One', 'Military', 'Siblings', 'Animal Abuse', 'Mature Themes', 'Violence', 'Based on a Manga', 'Domestic Abuse']","
Alt title: Hagane no Renkinjutsushi: Full Metal Alchemist
"
Fruits Basket the Final Season,https://www.anime-planet.com/anime/fruits-basket-the-final-season,"['Drama', 'Fantasy', 'Romance', 'Shoujo', 'Animal Transformation', 'Contemporary Fantasy', 'Curse', 'Dysfunctional Families', 'Mental Illness', 'Orphans', 'Zodiac', 'Emotional Abuse', 'Mature Themes', 'Physical Abuse', 'Suicide', 'Violence', 'Based on a Manga', 'Domestic Abuse']","
Alt title: Fruits Basket the Final
"
Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-entertainment-district-arc,"['Action', 'Adventure', 'Shounen', 'Demons', 'Historical', 'Martial Arts', 'Orphans', 'Siblings', 'Supernatural', 'Swordplay', 'Explicit Violence', 'Based on a Manga']","
Alt title: Kimetsu no Yaiba: Yuukaku-hen
"
Jujutsu Kaisen 2nd Season,https://www.anime-planet.com/anime/jujutsu-kaisen-2nd-season,"['Action', 'Horror', 'Shounen', 'Body Sharing', 'Curse', 'Exorcists', 'Monsters', 'School Life', 'Supernatural', 'Explicit Violence', 'Based on a Manga']",
Mo Dao Zu Shi 3,https://www.anime-planet.com/anime/mo-dao-zu-shi-3,"['Fantasy', 'Ancient China', 'Chinese Animation', 'Cultivation', 'Xianxia', 'Based on a Web Novel']","
Alt title: The Founder of Diabolism 3
"
Attack on Titan 3rd Season: Part II,https://www.anime-planet.com/anime/attack-on-titan-3rd-season-part-ii,"['Action', 'Fantasy', 'Horror', 'Shounen', 'Dark Fantasy', 'Isolated Society', 'Military', 'Outside World', 'Post-apocalyptic', 'Cannibalism', 'Explicit Violence', 'Based on a Manga']","
Alt title: Shingeki no Kyojin Season 3: Part II
"
Bleach: Thousand-Year Blood War,https://www.anime-planet.com/anime/bleach-thousand-year-blood-war,"['Action', 'Comedy', 'Drama', 'Shounen', 'Afterlife', 'Ghosts', 'Shinigami', 'Supernatural', 'War', 'Explicit Violence', 'Based on a Manga']","
Alt title: Bleach: Sennen Kessen-hen
"
Heaven Official's Blessing 2nd Season,https://www.anime-planet.com/anime/heaven-officials-blessing-2nd-season,"['BL', 'Romance', 'Shounen-ai', 'Ancient China', 'Chinese Animation', 'Ghosts', 'Gods', 'Historical', 'Non-Human Protagonists', 'Opposites Attract', 'Royalty', 'Supernatural', 'Xianxia', 'Based on a Web Novel']","
Alt title: Tian Guan Ci Fu 2nd Season
"
Haikyuu!! Karasuno High School vs Shiratorizawa Academy,https://www.anime-planet.com/anime/haikyuu-karasuno-high-school-vs-shiratorizawa-academy,"['Shounen', 'Sports', 'Animeism', 'School Club', 'School Life', 'Tournaments', 'Volleyball', 'Based on a Manga']","
Alt title: Haikyuu!! Karasuno Koukou vs Shiratorizawa Gakuen Koukou
"
