Anime,URL,Tags,Alts
Thunderbolt Fantasy 3,https://www.anime-planet.com/anime/thunderbolt-fantasy-3,"['Action', 'Fantasy', 'Ancient China', 'Swordplay', 'Wuxia', 'Original Work']","
Alt title: Thunderbolt Fantasy: Touri-ken Yuuki 3
"
Code Geass: Lelouch of the Rebellion Special Edition - Black Rebellion,https://www.anime-planet.com/anime/code-geass-lelouch-of-the-rebellion-special-edition-black-rebellion,"['Mecha', 'Sci Fi', 'Real Robot', 'Recap']","
Alt title: Code Geass: Hangyaku no Lelouch Special Edition Black Rebellion
"
Kyo Kara Maoh! 3rd Series,https://www.anime-planet.com/anime/kyo-kara-maoh-3rd-series,"['Comedy', 'Fantasy', 'Harem', 'Shoujo', 'Contemporary Fantasy', 'Demon King', 'Isekai', 'Medieval', 'Non-Human Protagonists', 'Person in a Strange World', 'Royalty', 'Based on a Light Novel']",
One Piece Special: Heart of Gold,https://www.anime-planet.com/anime/one-piece-special-heart-of-gold,"['Action', 'Adventure', 'Fantasy', 'Shounen', 'Pirates', 'Superpowers', 'Based on a Manga']",
The Rising of the Shield Hero 3rd Season,https://www.anime-planet.com/anime/the-rising-of-the-shield-hero-3rd-season,"['Action', 'Adventure', 'Fantasy', 'Seinen', 'Animal Characteristics', 'Dark Fantasy', 'Demons', 'Game Elements', 'Isekai', 'Monsters', 'Person in a Strange World', 'Summoned Into Another World', 'Based on a Light Novel']","
Alt title: Tate no Yuusha no Nariagari 3rd Season
"
Nodame Cantabile: Finale Special,https://www.anime-planet.com/anime/nodame-cantabile-finale-special,"['Comedy', 'Josei', 'Romance', 'Classical Music', 'Europe', 'Music', 'Based on a Manga']","
Alt title: Nodame Cantabile: Finale - Mine to Kiyora no Saikai
"
Is It Wrong to Try to Pick Up Girls in a Dungeon? Movie: Arrow of the Orion,https://www.anime-planet.com/anime/is-it-wrong-to-try-to-pick-up-girls-in-a-dungeon-movie-arrow-of-the-orion,"['Action', 'Adventure', 'Fantasy', 'Harem', 'Dungeon', 'Game Elements', 'Gods', 'Guilds', 'Monsters', 'Swordplay', 'Based on a Light Novel']","
Alt title: Dungeon ni Deai wo Motomeru no wa Machigatte Iru Darou ka Movie: Orion no Ya
"
Another,https://www.anime-planet.com/anime/another,"['Horror', 'Mystery', 'Countryside', 'Curse', 'Psychological', 'School Life', 'Supernatural', 'Transfer Students', 'Mature Themes', 'Physical Abuse', 'Suicide', 'Violence', 'Based on a Light Novel']",
The Garden of Sinners Movie 6: Fairy Tale. (Oblivion Recording),https://www.anime-planet.com/anime/the-garden-of-sinners-movie-6-fairy-tale-oblivion-recording,"['Drama', 'Mystery', 'Overpowered Main Characters', 'Supernatural', 'Cannibalism', 'Mature Themes', 'Violence', 'Based on a Light Novel']","
Alt title: Kara no Kyoukai Movie 6: Boukyaku Rokuon
"
Symphogear XV,https://www.anime-planet.com/anime/symphogear-xv,"['Action', 'Sci Fi', 'Music', 'Superpowers', 'Violence', 'Original Work']","
Alt title: Senki Zesshou Symphogear XV
"
Genshin Impact Chouki Project Shidou Collab PV,https://www.anime-planet.com/anime/genshin-impact-chouki-project-shidou-collab-pv,"['Fantasy', 'Promotional', 'Siblings', 'Based on a Video Game']",
Kaiba,https://www.anime-planet.com/anime/kaiba,"['Adventure', 'Romance', 'Sci Fi', 'Abstract', 'Amnesia', 'Body Swapping', 'Dystopia', 'Original Work']",
Ling Cage: Part II,https://www.anime-planet.com/anime/ling-cage-part-ii,"['Action', 'Drama', 'Horror', 'Sci Fi', 'Chinese Animation', 'Reincarnation', 'Thriller', 'CG Animation', 'Original Work']","
Alt titles: Ling Long: Incarnation Part II, Ling Long: Xia Ban Ji
"
Kodocha,https://www.anime-planet.com/anime/kodocha,"['Comedy', 'Drama', 'Romance', 'Shoujo', 'Slice of Life', 'Acting', 'Child Protagonists', 'Idols', 'Opposites Attract', 'School Life', 'Showbiz', 'Based on a Manga']","
Alt titles: Child's Toy, Kodomo no Omocha
"
Heaven's Lost Property Forte,https://www.anime-planet.com/anime/heavens-lost-property-forte,"['Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Shounen', 'Angels', 'Chibi', 'Contemporary Fantasy', 'Based on a Manga']","
Alt title: Sora no Otoshimono Forte
"
Little Witch Academia,https://www.anime-planet.com/anime/little-witch-academia,"['Fantasy', 'Anime Tamago', 'Dungeon', 'Magic', 'Magic School', 'School Life', 'Shorts', 'Witches', 'Original Work']",
Cinderella Chef 3rd Season,https://www.anime-planet.com/anime/cinderella-chef-3rd-season,"['Comedy', 'Drama', 'Romance', 'Ancient China', 'Chinese Animation', 'Cooking', 'Historical', 'Person in a Strange World', 'Based on a Web Novel']","
Alt title: Meng Qi Shi Shen: Huanxi Zhui Hun
"
Legend of the Galactic Heroes: My Conquest is the Sea of Stars,https://www.anime-planet.com/anime/legend-of-the-galactic-heroes-my-conquest-is-the-sea-of-stars,"['Drama', 'Sci Fi', 'Military', 'Outer Space', 'Political', 'Space Opera', 'War', 'Based on a Novel']","
Alt title: Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai
"
To Love Ru: Darkness 2nd Specials,https://www.anime-planet.com/anime/to-love-ru-darkness-2nd-specials,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Romance', 'Shounen', 'Aliens', 'Love Triangle', 'Non-Human Protagonists', 'School Life', 'Nudity', 'Sexual Content', 'Based on a Manga']",
Mashle: Magic and Muscles,https://www.anime-planet.com/anime/mashle-magic-and-muscles,"['Action', 'Comedy', 'Fantasy', 'Shounen', 'Magic', 'Overpowered Main Characters', 'Parody', 'Violence', 'Based on a Manga']",
Noblesse: Awakening,https://www.anime-planet.com/anime/noblesse-awakening,"['Action', 'Fantasy', 'Shounen', 'Contemporary Fantasy', 'Non-Human Protagonists', 'Overpowered Main Characters', 'Supernatural', 'Urban Fantasy', 'Vampires', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Based on a Webtoon']",
Seitokai Yakuindomo*,https://www.anime-planet.com/anime/seitokai-yakuindomo-2,"['Comedy', 'Shounen', 'Crude', 'Newly Co-ed School', 'Parody', 'Satire', 'School Life', 'Student Council', 'Sexual Content', 'Based on a 4-Koma Manga', 'Based on a Manga']",
Zhe Tian,https://www.anime-planet.com/anime/zhe-tian,"['Action', 'Adventure', 'Sci Fi', 'Chinese Animation', 'Based on a Web Novel', 'CG Animation']","
Alt title: Shrouding the Heavens
"
