Anime,URL,MAL_ID
Ah! My Goddess,https://www.anime-planet.com/anime/ah-my-goddess,49
Angelic Layer,https://www.anime-planet.com/anime/angelic-layer,52
Da Capo,https://www.anime-planet.com/anime/da-capo,62
Azumanga Daioh,https://www.anime-planet.com/anime/azumanga-daioh,66
Bungo Stray Dogs 2nd Season,https://www.anime-planet.com/anime/bungo-stray-dogs-2nd-season,32867
Shinkai Densetsu Meremanoid,https://www.anime-planet.com/anime/shinkai-densetsu-meremanoid,100
cosmopolite,https://www.anime-planet.com/anime/cosmopolite,112
El-Hazard: The Magnificent World 2,https://www.anime-planet.com/anime/el-hazard-the-magnificent-world-2,118
Fushigi Yugi OVA,https://www.anime-planet.com/anime/fushigi-yugi-ova,123
Fushigi Yugi OVA,https://www.anime-planet.com/anime/fushigi-yugi-ova,124
The Irregular at Magic High School Movie: The Girl Who Summons the Stars,https://www.anime-planet.com/anime/the-irregular-at-magic-high-school-movie-the-girl-who-summons-the-stars,32900
Durarara!! X2 The Third Arc: Dufufufu!,https://www.anime-planet.com/anime/durarara-x2-the-third-arc-dufufufu,32915
X&Y,https://www.anime-planet.com/anime/x-and-y,156
Haikyuu!! Karasuno High School vs Shiratorizawa Academy,https://www.anime-planet.com/anime/haikyuu-karasuno-high-school-vs-shiratorizawa-academy,32935
Initial D Final Stage,https://www.anime-planet.com/anime/initial-d-final-stage,185
Love Hina X'mas Special: Silent Eve,https://www.anime-planet.com/anime/love-hina-xmas-special-silent-eve,191
Love Hina Spring Special: I Wish Your Dream,https://www.anime-planet.com/anime/love-hina-spring-special-i-wish-your-dream,192
Read or Die,https://www.anime-planet.com/anime/read-or-die,208
Martian Successor Nadesico: Prince Of Darkness,https://www.anime-planet.com/anime/martian-successor-nadesico-prince-of-darkness,219
Danganronpa 3: The End of Hope's Peak Academy- Despair Arc,https://www.anime-planet.com/anime/danganronpa-3-the-end-of-hopes-peak-academy-despair-arc,33028
Mahoromatic 2,https://www.anime-planet.com/anime/mahoromatic-2,276
Bubuki Buranki: The Gentle Giants of the Galaxy,https://www.anime-planet.com/anime/bubuki-buranki-the-gentle-giants-of-the-galaxy,33041
Da Capo Second Season,https://www.anime-planet.com/anime/da-capo-second-season,291
Divergence Eve: Misaki Chronicles,https://www.anime-planet.com/anime/divergence-eve-misaki-chronicles,295
Queen's Blade: Beautiful Warriors,https://www.anime-planet.com/anime/queens-blade-beautiful-warriors,297
Bungo Stray Dogs: Walking Alone,https://www.anime-planet.com/anime/bungo-stray-dogs-walking-alone,33071
Akahori Gedou Hour Rabuge: Zettai Seigi Love Pheromone,https://www.anime-planet.com/anime/akahori-gedou-hour-rabuge-zettai-seigi-love-pheromone,309
Ace wo Nerae! 2,https://www.anime-planet.com/anime/ace-wo-nerae-2,313
Patlabor: The Mobile Police - New Files,https://www.anime-planet.com/anime/patlabor-the-mobile-police-new-files,324
Descending Stories: Shouwa Genroku Rakugo Shinjuu,https://www.anime-planet.com/anime/descending-stories-shouwa-genroku-rakugo-shinjuu,33095
Niji no Kizuna,https://www.anime-planet.com/anime/niji-no-kizuna,341
Cardcaptor Sakura: The Movie 2: The Sealed Card,https://www.anime-planet.com/anime/cardcaptor-sakura-the-movie-2-the-sealed-card,372
Peeping Life Specials,https://www.anime-planet.com/anime/peeping-life-specials,376
Fushigi Yugi OVA,https://www.anime-planet.com/anime/fushigi-yugi-ova,380
Fushigi Yugi OVA,https://www.anime-planet.com/anime/fushigi-yugi-ova,381
The Vision of Escaflowne: The Movie,https://www.anime-planet.com/anime/the-vision-of-escaflowne-the-movie,393
Great Hunt,https://www.anime-planet.com/anime/great-hunt,395
"Ranma 1/2: The Movie - Big Trouble in Nekonron, China",https://www.anime-planet.com/anime/ranma-the-movie-big-trouble-in-nekonron-china,418
Idol Fantasy,https://www.anime-planet.com/anime/idol-fantasy,426
Kaleido Star: Legend of Phoenix ~Layla Hamilton Story~,https://www.anime-planet.com/anime/kaleido-star-legend-of-phoenix-layla-hamilton-story,429
Ojisan and Marshmallow: Hige-san and Marshmallow,https://www.anime-planet.com/anime/ojisan-and-marshmallow-hige-san-and-marshmallow,33201
Naruto Movie 1: Ninja Clash in the Land of Snow,https://www.anime-planet.com/anime/naruto-movie-1-ninja-clash-in-the-land-of-snow,442
Maria Watches Over Us Season 3,https://www.anime-planet.com/anime/maria-watches-over-us-season-3,444
Tenjho Tenge: Ultimate Fight,https://www.anime-planet.com/anime/tenjho-tenge-ultimate-fight,448
InuYasha The Movie 1: Affections Touching Across Time,https://www.anime-planet.com/anime/inuyasha-the-movie-1-affections-touching-across-time,452
One Piece Movie 1,https://www.anime-planet.com/anime/one-piece-movie-1,459
One Piece Movie 2: Clockwork Island Adventure,https://www.anime-planet.com/anime/one-piece-movie-2-clockwork-island-adventure,460
One Piece Movie 3: Chopper Kingdom of Strange Animal Island,https://www.anime-planet.com/anime/one-piece-movie-3-chopper-kingdom-of-strange-animal-island,461
One Piece Movie 4: Dead End Adventure,https://www.anime-planet.com/anime/one-piece-movie-4-dead-end-adventure,462
One Piece Movie 5: The Curse of the Sacred Sword,https://www.anime-planet.com/anime/one-piece-movie-5-the-curse-of-the-sacred-sword,463
One Piece Movie 6: Baron Omatsuri and the Secret Island,https://www.anime-planet.com/anime/one-piece-movie-6-baron-omatsuri-and-the-secret-island,464
One Piece Movie 7: Karakuri Castle's Mecha Giant Soldier,https://www.anime-planet.com/anime/one-piece-movie-7-karakuri-castles-mecha-giant-soldier,465
One Piece: Defeat the Pirate Ganzak!,https://www.anime-planet.com/anime/one-piece-defeat-the-pirate-ganzak,466
Kiitaro's youkai picture diary,https://www.anime-planet.com/anime/kiitaros-youkai-picture-diary,33244
Kubikiri Cycle: Aoiro Savant to Zaregototsukai,https://www.anime-planet.com/anime/kubikiri-cycle-aoiro-savant-to-zaregototsukai,33263
Dragon Ball Movie 1: Curse of the Blood Rubies,https://www.anime-planet.com/anime/dragon-ball-movie-1-curse-of-the-blood-rubies,502
Eien no Aseria: Spirit of Eternity Sword,https://www.anime-planet.com/anime/eien-no-aseria-spirit-of-eternity-sword,503
Strawberry Eggs,https://www.anime-planet.com/anime/strawberry-eggs,509
Laputa: Castle in the Sky,https://www.anime-planet.com/anime/laputa-castle-in-the-sky,513
Otogi Zoshi,https://www.anime-planet.com/anime/otogi-zoshi,525
Pokemon: The Origin of Mewtwo,https://www.anime-planet.com/anime/pokemon-the-origin-of-mewtwo,528
Bishoujo Senshi Sailor Moon Cosmos Movie 2,https://www.anime-planet.com/anime/bishoujo-senshi-sailor-moon-cosmos-movie-2,531
Monogatari Series: Second Season,https://www.anime-planet.com/anime/monogatari-series-second-season,545
Baki the Grappler: Maximum Tournament,https://www.anime-planet.com/anime/baki-the-grappler-maximum-tournament,551
Irresponsible Captain Tylor,https://www.anime-planet.com/anime/irresponsible-captain-tylor,569
One Piece Special: Heart of Gold,https://www.anime-planet.com/anime/one-piece-special-heart-of-gold,33338
Wings of Rean,https://www.anime-planet.com/anime/wings-of-rean,574
Naruto Special 2: Battle at Hidden Falls. I am the Hero!,https://www.anime-planet.com/anime/naruto-special-2-battle-at-hidden-falls-i-am-the-hero,594
Charlotte Special,https://www.anime-planet.com/anime/charlotte-special,596
STARMYU,https://www.anime-planet.com/anime/starmyu,33362
Magical Star Magical Emi,https://www.anime-planet.com/anime/magical-star-magical-emi,604
Overlord IV,https://www.anime-planet.com/anime/overlord-iv,33372
Haikara-San: Here Comes Miss Modern Part 1,https://www.anime-planet.com/anime/haikara-san-here-comes-miss-modern-part-1,33378
Jubei-chan: The Ninja Girl,https://www.anime-planet.com/anime/jubei-chan-the-ninja-girl,635
Jubei-chan: The Ninja Girl,https://www.anime-planet.com/anime/jubei-chan-the-ninja-girl,636
Ichigo 100% Special,https://www.anime-planet.com/anime/ichigo-100-special,641
Tenchi Universe,https://www.anime-planet.com/anime/tenchi-universe,696
Space Battleship Yamato Movie,https://www.anime-planet.com/anime/space-battleship-yamato-movie,711
My Hero Academia 2,https://www.anime-planet.com/anime/my-hero-academia-2,33486
"Shounen Maid: Women Should Be Brave, and Men Should Be Winsome?",https://www.anime-planet.com/anime/shounen-maid-women-should-be-brave-and-men-should-be-winsome,33491
Seer 4th Season,https://www.anime-planet.com/anime/seer-4th-season,33490
Ocean Waves,https://www.anime-planet.com/anime/ocean-waves,743
Kabaneri of the Iron Fortress Part 1: Light That Gathers,https://www.anime-planet.com/anime/kabaneri-of-the-iron-fortress-part-1-light-that-gathers,33519
RahXephon: The Motion Picture,https://www.anime-planet.com/anime/rahxephon-the-motion-picture,758
Naruto Special 1: Find the Crimson Four-leaf Clover!,https://www.anime-planet.com/anime/naruto-special-1-find-the-crimson-four-leaf-clover,761
Detective Conan Movie 1: The Time Bombed Skyscraper,https://www.anime-planet.com/anime/detective-conan-the-time-bombed-skyscraper,779
