Anime,URL,MAL_ID
Turn A Gundam,https://www.anime-planet.com/anime/turn-a-gundam,95
Mobile Fighter G Gundam,https://www.anime-planet.com/anime/mobile-fighter-g-gundam,96
Last Exile,https://www.anime-planet.com/anime/last-exile,97
Maihime,https://www.anime-planet.com/anime/maihime,98
Air,https://www.anime-planet.com/anime/air,101
Aishiteruze Baby,https://www.anime-planet.com/anime/aishiteruze-baby,102
Mai-Otome,https://www.anime-planet.com/anime/mai-otome,99
"Ceres, Celestial Legend",https://www.anime-planet.com/anime/ceres-celestial-legend,104
Boys Be...,https://www.anime-planet.com/anime/boys-be,105
Boys Over Flowers,https://www.anime-planet.com/anime/boys-over-flowers,106
Jing: King of Bandits,https://www.anime-planet.com/anime/jing-king-of-bandits,107
Jing: King of Bandits - Seventh Heaven,https://www.anime-planet.com/anime/jing-king-of-bandits-seventh-heaven,108
Burst Angel,https://www.anime-planet.com/anime/burst-angel,109
Akazukin Chacha,https://www.anime-planet.com/anime/akazukin-chacha,103
Corrector Yui,https://www.anime-planet.com/anime/corrector-yui,111
Stellvia of the Universe,https://www.anime-planet.com/anime/stellvia-of-the-universe,113
Cromartie High School,https://www.anime-planet.com/anime/cromartie-high-school,114
El-Hazard: The Alternative World,https://www.anime-planet.com/anime/el-hazard-the-alternative-world,115
Tiger Mask W,https://www.anime-planet.com/anime/tiger-mask-w,32881
El-Hazard: The Magnificent World,https://www.anime-planet.com/anime/el-hazard-the-magnificent-world,117
Sword Oratoria: Is it Wrong to Try to Pick Up Girls in a Dungeon? On the Side,https://www.anime-planet.com/anime/sword-oratoria-is-it-wrong-to-try-to-pick-up-girls-in-a-dungeon-on-the-side,32887
Fruits Basket,https://www.anime-planet.com/anime/fruits-basket,120
Fullmetal Alchemist,https://www.anime-planet.com/anime/fullmetal-alchemist,121
Final Approach,https://www.anime-planet.com/anime/final-approach,119
Futakoi,https://www.anime-planet.com/anime/futakoi,125
Futakoi Alternative,https://www.anime-planet.com/anime/futakoi-alternative,126
Full Moon wo Sagashite,https://www.anime-planet.com/anime/full-moon-wo-sagashite,122
Gatekeepers,https://www.anime-planet.com/anime/gatekeepers,127
Saiyuki,https://www.anime-planet.com/anime/saiyuki,129
Saiyuki Reload,https://www.anime-planet.com/anime/saiyuki-reload,130
Saiyuki Reload Gunlock,https://www.anime-planet.com/anime/saiyuki-reload-gunlock,131
Get Backers,https://www.anime-planet.com/anime/get-backers,132
Maho-Yome,https://www.anime-planet.com/anime/maho-yome,32902
Hikaru no Go,https://www.anime-planet.com/anime/hikaru-no-go,135
Hunter x Hunter,https://www.anime-planet.com/anime/hunter-x-hunter,136
Hunter x Hunter OVA,https://www.anime-planet.com/anime/hunter-x-hunter-ova,137
∞,https://www.anime-planet.com/anime/infinity,138
∞,https://www.anime-planet.com/anime/infinity,139
Green Green,https://www.anime-planet.com/anime/green-green,133
Jinki:Extend,https://www.anime-planet.com/anime/jinki-extend,141
Phantom Thief Jeanne,https://www.anime-planet.com/anime/phantom-thief-jeanne,142
Destiny of the Shrine Maiden,https://www.anime-planet.com/anime/destiny-of-the-shrine-maiden,143
Kanon,https://www.anime-planet.com/anime/kanon,144
His and Her Circumstances,https://www.anime-planet.com/anime/his-and-her-circumstances,145
This Ugly Yet Beautiful World,https://www.anime-planet.com/anime/this-ugly-yet-beautiful-world,146
Rumbling Hearts,https://www.anime-planet.com/anime/rumbling-hearts,147
Diamond Daydreams,https://www.anime-planet.com/anime/diamond-daydreams,148
Blood+,https://www.anime-planet.com/anime/blood-plus,150
Solty Rei,https://www.anime-planet.com/anime/solty-rei,152
The Twelve Kingdoms,https://www.anime-planet.com/anime/the-twelve-kingdoms,153
Shaman King,https://www.anime-planet.com/anime/shaman-king,154
X: The Movie,https://www.anime-planet.com/anime/x-the-movie,155
Negima!?,https://www.anime-planet.com/anime/negima-2,157
Negima!,https://www.anime-planet.com/anime/negima-1,157
Maria Watches Over Us,https://www.anime-planet.com/anime/maria-watches-over-us,158
Urara Meirochou,https://www.anime-planet.com/anime/urara-meirochou,32924
"Now and Then, Here and There",https://www.anime-planet.com/anime/now-and-then-here-and-there,160
Peace Maker Kurogane,https://www.anime-planet.com/anime/peace-maker-kurogane,161
Pita-Ten,https://www.anime-planet.com/anime/pita-ten,162
Power Stone,https://www.anime-planet.com/anime/power-stone,163
Princess Mononoke,https://www.anime-planet.com/anime/princess-mononoke,164
RahXephon,https://www.anime-planet.com/anime/rahxephon,165
Samurai 7,https://www.anime-planet.com/anime/samurai-7,166
Scrapped Princess,https://www.anime-planet.com/anime/scrapped-princess,167
KonoSuba – God's blessing on this wonderful world! 2,https://www.anime-planet.com/anime/konosuba-gods-blessing-on-this-wonderful-world-2,32937
Slam Dunk,https://www.anime-planet.com/anime/slam-dunk,170
The Silver Guardian,https://www.anime-planet.com/anime/the-silver-guardian,32936
