Anime,URL,Tags,Alts,id
imstandingonamillionlivesrecap,https://www.anime-planet.com/anime/im-standing-on-a-million-lives-recap,"['Action', 'Fantasy', 'Shounen', 'Game Elements', 'Isekai', 'Monsters', 'Person in a Strange World', 'Recap', 'Based on a Manga']","
Alt title: 100-man no Inochi no Ue ni Ore wa Tatteiru Recap
",48976
onemillionyeartripbanderbook,https://www.anime-planet.com/anime/one-million-year-trip-bander-book,"['Adventure', 'Sci Fi', 'Aliens', 'Outer Space']","
Alt title: Hyakumannen Chikyuu no Tabi: Bander Book
",5133
DIALOGUE+ 1000-mankai Hug Nanda,https://www.anime-planet.com/anime/dialogue-1000-mankai-hug-nanda,[],,53917
queenmillenniamovie,https://www.anime-planet.com/anime/queen-millennia-movie,"['Sci Fi', 'Seinen', 'Leijiverse', 'Space Opera', 'Based on a Manga']","
Alt title: 1000-nen Joou Movie
",1549
1001 Nights,https://www.anime-planet.com/anime/1001-nights,"['Fantasy', 'Romance', 'Abstract', 'Dream World', 'Middle Eastern', 'No Dialogue', 'Royalty', 'Nudity', 'Sexual Content', 'Original Work']",,3914
They Were Eleven,https://www.anime-planet.com/anime/they-were-eleven,"['Mystery', 'Romance', 'Sci Fi', 'Shoujo', 'Outer Space', 'Psychological', 'Survival', 'Based on a Manga']","
Alt title: 11-nin Iru!
",1901
11eyes,https://www.anime-planet.com/anime/11eyes,"['Action', 'Ecchi', 'Fantasy', 'Seinen', 'Superpowers', 'Sexual Content', 'Based on an Eroge', 'Based on a Visual Novel']",,6682
11eyes Picture Drama,https://www.anime-planet.com/anime/11eyes-picture-drama,"['Comedy', 'Picture Drama', 'Nudity', 'Violence']",,20557
12sai,https://www.anime-planet.com/anime/12-sai,"['Romance', 'Shoujo', 'Child Protagonists', 'School Life', 'Based on a Manga']",,23579
12-Sai. 2nd Season,https://www.anime-planet.com/anime/12-sai-2nd-season,"['Romance', 'Shoujo', 'Child Protagonists', 'School Life', 'Based on a Manga']",,31319
12saichicchanamunenotokimeki,https://www.anime-planet.com/anime/12-sai-chiccha-na-mune-no-tokimeki,"['Romance', 'Shoujo', 'Child Protagonists', 'School Life', 'Based on a Manga']",,32601
12-Sai: Chiccha na Mune no Tokimeki 2,https://www.anime-planet.com/anime/12-sai-chiccha-na-mune-no-tokimeki-2,"['Romance', 'Shoujo', 'Child Protagonists', 'School Life', 'Based on a Manga']",,33419
15pundeoitsukeruattackontitan,https://www.anime-planet.com/anime/15-pun-de-oitsukeru-attack-on-titan,"['Action', 'Horror', 'Military', 'Post-apocalyptic', 'Recap', 'Based on a Manga']","
Alt title: 15-pun de Oitsukeru: Shingeki no Kyojin
",51240
180-byou de Kimi no Mimi wo Shiawase ni Dekiru ka?,https://www.anime-planet.com/anime/180-byou-de-kimi-no-mimi-wo-shiawase-ni-dekiru-ka,"['Short Episodes', 'Original Work']",,48858
18if,https://www.anime-planet.com/anime/18-if,"['Drama', 'Fantasy', 'Collections', 'Dream World', 'Bullying', 'Mature Themes', 'Suicide', 'Violence', 'Based on a Mobile Game']",,35248
the pillows: 1989,https://www.anime-planet.com/anime/the-pillows-1989,[],,30234
243seiinhighschoolboysvolleyballteam,https://www.anime-planet.com/anime/243-seiin-high-school-boys-volleyball-team,"['Drama', 'Sports', 'Childhood Friends', 'noitaminA', 'School Club', 'School Life', 'Tournaments', 'Volleyball', 'Based on a Light Novel']","
Alt title: 2.43: Seiin Koukou Danshi Volley-bu
",40679
