Anime,URL,Tags,Alts,MAL_ID
Noragami,https://www.anime-planet.com/anime/noragami,"['Action', 'Comedy', 'Drama', 'Shounen', 'Contemporary Fantasy', 'Ghosts', 'Gods', 'Japanese Mythology', 'Non-Human Protagonists', 'Supernatural', 'Urban Fantasy', 'Violence', 'Based on a Manga']",[''],20507
ERASED,https://www.anime-planet.com/anime/erased,"['Drama', 'Mystery', 'Seinen', 'Age Transformation', 'Crime', 'Death of a Loved One', 'Dysfunctional Families', 'Melancholy', 'noitaminA', 'Second Chance', 'Serial Killers', 'Supernatural', 'Thriller', 'Time Travel', 'Animal Abuse', 'Mature Themes', 'Physical Abuse', 'Based on a Manga', 'Domestic Abuse']",['Boku dake ga Inai Machi'],31043
Akame ga Kill!,https://www.anime-planet.com/anime/akame-ga-kill,"['Action', 'Fantasy', 'Shounen', 'Assassins', 'Dark Fantasy', 'Lifestyle Change', 'Rebellions', 'Urban Fantasy', 'Vigilantes', 'Explicit Violence', 'Based on a Manga']",[''],22199
Angel Beats!,https://www.anime-planet.com/anime/angel-beats,"['Action', 'Comedy', 'Drama', 'Afterlife', 'Amnesia', 'School Life', 'Supernatural', 'Physical Abuse', 'Violence', 'Original Work', 'Domestic Abuse']",[''],6547
The Seven Deadly Sins,https://www.anime-planet.com/anime/the-seven-deadly-sins,"['Action', 'Adventure', 'Fantasy', 'Shounen', 'Demons', 'Framed for a Crime', 'Magic', 'Medieval', 'Non-Human Protagonists', 'Overpowered Main Characters', 'Royalty', 'Superpowers', 'Animal Abuse', 'Mature Themes', 'Violence', 'Based on a Manga']",['Nanatsu no Taizai'],23755
Mob Psycho 100,https://www.anime-planet.com/anime/mob-psycho-100,"['Action', 'Comedy', 'Drama', 'Exorcists', 'Overpowered Main Characters', 'Psychic Powers', 'Psychological', 'School Life', 'Supernatural', 'Superpowers', 'Violence', 'Based on a Manga']",[''],32182
Assassination Classroom,https://www.anime-planet.com/anime/assassination-classroom,"['Action', 'Comedy', 'Sci Fi', 'Shounen', 'Aliens', 'Assassins', 'Non-Human Protagonists', 'Overpowered Main Characters', 'Parody', 'School Life', 'Teachers', 'Teaching', 'Based on a Manga']",['Ansatsu Kyoushitsu'],24833
Sword Art Online II,https://www.anime-planet.com/anime/sword-art-online-ii,"['Action', 'Adventure', 'Fantasy', 'Sci Fi', 'Guns', 'High Stakes Games', 'MMORPG', 'Overpowered Main Characters', 'Person in a Strange World', 'PVE', 'PVP', 'Virtual Reality', 'Based on a Light Novel']",[''],21881
Haikyuu!!,https://www.anime-planet.com/anime/haikyuu,"['Shounen', 'Sports', 'School Club', 'School Life', 'Tournaments', 'Volleyball', 'Based on a Manga']",[''],20583
The Promised Neverland,https://www.anime-planet.com/anime/the-promised-neverland,"['Fantasy', 'Horror', 'Mystery', 'Sci Fi', 'Shounen', 'Child Protagonists', 'Dark Fantasy', 'Human Livestock', 'Isolated Society', 'Mind Games', 'noitaminA', 'Orphanage', 'Orphans', 'Outside World', 'Psychological', 'Thriller', 'Mature Themes', 'Based on a Manga', 'Domestic Abuse', 'Self-Harm']",['Yakusoku no Neverland'],37779
Bleach,https://www.anime-planet.com/anime/bleach,"['Action', 'Shounen', 'Afterlife', 'Shinigami', 'Supernatural', 'Superpowers', 'Swordplay', 'Violence', 'Based on a Manga']",[''],269
KonoSuba – God's blessing on this wonderful world!,https://www.anime-planet.com/anime/konosuba-gods-blessing-on-this-wonderful-world,"['Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Demons', 'Gag', 'Game Elements', 'Gods', 'Guilds', 'Isekai', 'NEET', 'Non-Human Protagonists', 'Parody', 'Person in a Strange World', 'Based on a Light Novel']",['Kono Subarashii Sekai ni Shukufuku wo!'],30831
Blue Exorcist,https://www.anime-planet.com/anime/blue-exorcist,"['Action', 'Fantasy', 'Shounen', 'Contemporary Fantasy', 'Demons', 'Exorcists', 'Monster School', 'Orphans', 'School Life', 'Siblings', 'Supernatural', 'Urban Fantasy', 'Based on a Manga']",['Ao no Exorcist'],9919
Parasyte -the maxim-,https://www.anime-planet.com/anime/parasyte-the-maxim,"['Action', 'Drama', 'Horror', 'Sci Fi', 'Seinen', 'Aliens', 'Body Sharing', 'Psychological', 'Animal Abuse', 'Bullying', 'Explicit Violence', 'Mature Themes', 'Sexual Content', 'Based on a Manga']",['Kiseijuu: Sei no Kakuritsu'],22535
