Anime,URL,Tags,Alts,MAL_ID
Attack on Titan 3rd Season,https://www.anime-planet.com/anime/attack-on-titan-3rd-season,"['Action', 'Fantasy', 'Horror', 'Dark Fantasy', 'Isolated Society', 'Military', 'Outside World', 'Political', 'Post-apocalyptic', 'Cannibalism', 'Explicit Violence', 'Based on a Manga']",['Shingeki no Kyojin 3rd Season'],25777
My Hero Academia 2,https://www.anime-planet.com/anime/my-hero-academia-2,"['Action', 'Comedy', 'Drama', 'Shounen', 'School Life', 'Superheroes', 'Superpowers', 'Tournaments', 'Weak to Strong', 'Emotional Abuse', 'Mature Themes', 'Physical Abuse', 'Violence', 'Based on a Manga', 'Domestic Abuse']",['Boku no Hero Academia 2'],33486
Attack on Titan 3rd Season,https://www.anime-planet.com/anime/attack-on-titan-3rd-season,"['Action', 'Fantasy', 'Horror', 'Dark Fantasy', 'Isolated Society', 'Military', 'Outside World', 'Political', 'Post-apocalyptic', 'Cannibalism', 'Explicit Violence', 'Based on a Manga']",['Shingeki no Kyojin 3rd Season'],35760
Attack on Titan 3rd Season: Part II,https://www.anime-planet.com/anime/attack-on-titan-3rd-season-part-ii,"['Action', 'Fantasy', 'Horror', 'Shounen', 'Dark Fantasy', 'Isolated Society', 'Military', 'Outside World', 'Post-apocalyptic', 'Cannibalism', 'Explicit Violence', 'Based on a Manga']",['Shingeki no Kyojin Season 3: Part II'],38524
My Hero Academia 3,https://www.anime-planet.com/anime/my-hero-academia-3,"['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Superheroes', 'Superpowers', 'Violence', 'Based on a Manga']",['Boku no Hero Academia 3'],36456
My Hero Academia 4,https://www.anime-planet.com/anime/my-hero-academia-4,"['Action', 'Drama', 'Sci Fi', 'Shounen', 'Superheroes', 'Superpowers', 'Emotional Abuse', 'Mature Themes', 'Physical Abuse', 'Violence', 'Based on a Manga']",['Boku no Hero Academia 4'],38408
Attack on Titan The Final Season: Part II,https://www.anime-planet.com/anime/attack-on-titan-the-final-season-part-ii,"['Action', 'Drama', 'Fantasy', 'Shounen', 'Dark Fantasy', 'Military', 'War', 'Explicit Violence', 'Based on a Manga']",['Shingeki no Kyojin The Final Season: Part II'],48583
Seer 2nd Season,https://www.anime-planet.com/anime/seer-2nd-season,"['Sci Fi', 'Chinese Animation', 'Robots']",['Sai Er Hao 2nd Season'],11741
Fairy Tail 2,https://www.anime-planet.com/anime/fairy-tail-2,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Guilds', 'Magic', 'Based on a Manga']",[''],22043
Mushoku Tensei: Jobless Reincarnation - Part II,https://www.anime-planet.com/anime/mushoku-tensei-jobless-reincarnation-part-ii,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Seinen', 'Demons', 'Isekai', 'Magic', 'NEET', 'Person in a Strange World', 'Reincarnation', 'Mature Themes', 'Violence', 'Based on a Light Novel']",['Mushoku Tensei: Isekai Ittara Honki Dasu - Part II'],45576
Re:ZERO: Starting Life in Another World Season 2: Part II,https://www.anime-planet.com/anime/re-zero-starting-life-in-another-world-season-2-part-ii,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Cheats', 'Dark Fantasy', 'Isekai', 'Magic', 'Person in a Strange World', 'Psychological', 'Summoned Into Another World', 'Thriller', 'Time Travel', 'Based on a Light Novel']",['Re:Zero kara Hajimeru Isekai Seikatsu Season 2: Part II'],42203
SPY x FAMILY: Part II,https://www.anime-planet.com/anime/spy-x-family-part-ii,"['Action', 'Comedy', 'Shounen', 'Assassins', 'Espionage', 'Family Life', 'Psychic Powers', 'Secret Identity', 'Animal Abuse', 'Based on a Manga']",[''],50602
Bungo Stray Dogs 2nd Season,https://www.anime-planet.com/anime/bungo-stray-dogs-2nd-season,"['Action', 'Mystery', 'Seinen', 'Detectives', 'Gangs', 'Guns', 'Mafia', 'Orphans', 'Supernatural', 'Superpowers', 'Violence', 'Based on a Manga']",[''],32867
Haikyuu!! To the Top: Part II,https://www.anime-planet.com/anime/haikyuu-to-the-top-part-ii,"['Shounen', 'Sports', 'Animeism', 'School Club', 'Tournaments', 'Volleyball', 'Based on a Manga']",[''],40776
My Hero Academia Movie: Two Heroes,https://www.anime-planet.com/anime/my-hero-academia-movie-two-heroes,"['Action', 'Sci Fi', 'Shounen', 'Island', 'Superheroes', 'Superpowers', 'Based on a Manga']",['Boku no Hero Academia Movie: Futari no Hero'],36896
